"","Assemblage","n","S.obs","SC","f1","f2","f3","f4","f5","f6","f7","f8","f9","f10"
"121","600",2,2,0.6667,2,0,0,0,0,0,0,0,0,0
"122","601",13,9,0.5628,6,2,1,0,0,0,0,0,0,0
"123","605",5,5,0.1111,5,0,0,0,0,0,0,0,0,0
"124","609",1,1,1,1,0,0,0,0,0,0,0,0,0
"125","613",3,3,0.3333,3,0,0,0,0,0,0,0,0,0
"126","628",1,1,1,1,0,0,0,0,0,0,0,0,0
"127","629",1,1,1,1,0,0,0,0,0,0,0,0,0
"128","631",1,1,1,1,0,0,0,0,0,0,0,0,0
"129","635",1,1,1,1,0,0,0,0,0,0,0,0,0
"130","641",14,12,0.307,10,2,0,0,0,0,0,0,0,0
"131","642",8,6,0.4167,5,0,1,0,0,0,0,0,0,0
"132","643",2,2,0.6667,2,0,0,0,0,0,0,0,0,0
"133","644",13,10,0.3218,9,0,0,1,0,0,0,0,0,0
"134","647",4,4,0.1818,4,0,0,0,0,0,0,0,0,0
"135","650",1,1,1,1,0,0,0,0,0,0,0,0,0
"136","654",2,2,0.6667,2,0,0,0,0,0,0,0,0,0
"137","666",50,23,0.7832,11,4,4,2,1,1,0,0,0,0
"138","669",5,5,0.1111,5,0,0,0,0,0,0,0,0,0
"139","685",54,26,0.8011,11,7,4,3,1,0,0,0,0,0
"140","686",6,6,0.0741,6,0,0,0,0,0,0,0,0,0
"141","687",3,2,0.8333,1,1,0,0,0,0,0,0,0,0
"142","688",32,16,0.7559,8,3,4,0,0,1,0,0,0,0
"143","691",20,12,0.6699,7,4,0,0,1,0,0,0,0,0
"144","704",4,2,1,1,0,1,0,0,0,0,0,0,0
"145","715",6,6,0.0741,6,0,0,0,0,0,0,0,0,0
"146","729",1,1,1,1,0,0,0,0,0,0,0,0,0
"147","730",1,1,1,1,0,0,0,0,0,0,0,0,0
"148","731",13,9,0.4761,7,0,2,0,0,0,0,0,0,0
"149","732",9,9,0.0303,9,0,0,0,0,0,0,0,0,0
"150","736",5,4,0.4857,3,1,0,0,0,0,0,0,0,0
"151","742",58,26,0.8507,9,10,4,1,0,1,1,0,0,0
"152","744",6,4,0.5833,3,0,1,0,0,0,0,0,0,0
"153","747",1,1,1,1,0,0,0,0,0,0,0,0,0
"154","759",1,1,1,1,0,0,0,0,0,0,0,0,0
"155","761",1,1,1,1,0,0,0,0,0,0,0,0,0
"156","762",1,1,1,1,0,0,0,0,0,0,0,0,0
"157","764",1,1,1,1,0,0,0,0,0,0,0,0,0
"158","765",10,8,0.325,7,0,1,0,0,0,0,0,0,0
"159","776",30,14,0.7379,8,2,2,1,0,0,0,1,0,0
"160","788",2,2,0.6667,2,0,0,0,0,0,0,0,0,0
"161","793",10,7,0.6571,4,3,0,0,0,0,0,0,0,0
"162","799",1,1,1,1,0,0,0,0,0,0,0,0,0
