"","id","lon","lat"
"198",3302058387,635935.970284927,4839881.43909698
"199",3302033755,630481.357103345,4851095.19333603
"200",3301842194,628459.007373231,4841255.73643533
"201",3124895976,637585.365051928,4837635.09286011
"202",3124879218,629583.405701129,4839939.19057992
"203",3124691992,629570.133839834,4854240.64576461
"204",3124691130,624104.925937056,4849203.04509982
"205",3124644483,620550.365887729,4841514.57408818
"206",3124539726,648134.482740693,4852969.10046341
"207",3124537975,645258.441707544,4856388.29509015
"208",3118206656,644126.246086724,4844311.21656824
"209",3117848873,630432.781417533,4851056.68673133
"210",3112803283,636688.301328675,4854235.47067702
"211",3090855860,641789.854779235,4841030.48483868
"212",3090854714,636199.215465504,4855139.23131667
"213",3090827731,636200.218113582,4855121.6959598
"214",3090796526,636245.606400439,4852371.24486609
"215",3090774676,636062.704472399,4853685.74447985
"216",3090747788,630405.992840239,4847310.48519816
"217",3090739432,635671.804309575,4853954.54154724
"218",3090717711,635668.14058328,4853956.68906754
"219",3090633726,636202.082370635,4855117.06739268
"220",3090629739,630288.977342682,4847579.29949953
"221",3090605742,635676.726287403,4853949.86410447
"222",3090603862,641739.691943294,4840526.6266979
"223",3090585427,644414.209772428,4857197.62716002
"224",3090584879,635994.449006526,4854112.46659541
"225",3090537850,641722.884062199,4841003.39581373
"226",3090523813,636267.533165864,4855129.74206927
"227",3068102496,643934.516896436,4857229.44394623
"228",3032065419,615529.815455194,4829587.75711025
"229",3031958508,648720.307526684,4852697.25228241
"230",3031847717,627349.90640473,4854367.1980955
"231",3031832746,632795.988594345,4850008.08640032
"232",3031815761,628817.760284287,4854713.46082062
"233",3031811722,627344.271043136,4854375.86763651
"234",3008568401,635836.336634297,4837108.22178057
"235",3008503445,643429.350304924,4849428.02315157
"236",3008415393,622435.584497932,4850120.08171514
"237",3008393338,621914.734340052,4841941.08860096
"238",3005087447,611955.607828238,4842328.34861048
"239",2999166172,623748.115237758,4833810.63169544
"240",2988610532,629151.115988225,4838883.76167997
"241",2988574632,623021.261947878,4831810.20605626
"242",2988497379,611124.65341394,4833803.33609154
"243",2988468612,623532.072830688,4832332.11440352
"244",2988364338,634749.866290252,4840080.0728294
"245",2984526649,631948.438566151,4839543.72260526
"246",2984396668,623747.78215706,4833326.78165729
"247",2898326748,624780.968468958,4835172.13734361
"248",2868385968,635146.408000643,4840776.07498452
"249",2868175874,635392.493111947,4833638.95390499
"250",2864778675,650836.831779459,4849854.46187341
"251",2860227543,632602.768199649,4835491.03475023
"252",2860124844,630624.922463903,4850086.03237497
"253",2859985953,634387.925188249,4845838.59619611
"254",2859946639,631527.334283758,4840713.48870281
"255",2856712522,623552.54708106,4833679.91955769
"256",2856538613,643500.997311109,4854030.40489009
"257",2856492854,623933.247668549,4833310.65897668
"258",2851257673,624325.199745583,4833619.45532977
"259",2850972137,632436.717406065,4839315.94648129
"260",2850776377,642753.1999865,4842701.73957004
"261",2826308835,649661.691543541,4847984.76808692
"262",2823374746,648931.948533591,4852955.67818724
"263",2818868362,650385.245147049,4851381.52507868
"264",2818849324,623690.568522213,4848075.08046956
"265",2818759340,638794.653589053,4846171.87124479
"266",2818758340,614687.51466031,4826290.79205001
"267",2818737343,611085.132318688,4842921.1606585
"268",2818701347,626581.531712219,4845603.28737271
"269",2818655358,630351.87979255,4840457.45331316
"270",2818554345,620370.150084717,4835617.15718771
